Author: Spencer Rodgers, Date 1/6/2021, Score = 0.596295, Intercept Time = 2.61
Missile X, Missile Y, Target X, Target Y, AccelM, Separation, Time 
88.261,304.388,31.9446,443.44,11.1491,150.023,0.85
89.0685,308.03,33.3013,445.184,11.3333,148.058,0.86
89.8675,311.673,34.6457,446.938,11.5157,146.103,0.87
90.6577,315.319,35.9776,448.702,11.6962,144.156,0.88
91.439,318.966,37.2969,450.475,11.8746,142.218,0.89
92.2113,322.615,38.6036,452.257,12.051,140.289,0.9
92.9745,326.266,39.8977,454.049,12.2251,138.367,0.91
93.7284,329.919,41.179,455.849,12.3971,136.455,0.92
94.4731,333.574,42.4474,457.659,12.5668,134.55,0.93
95.2082,337.231,43.7031,459.478,12.7342,132.654,0.94
95.9338,340.89,44.9457,461.305,12.8991,130.766,0.95
96.6498,344.55,46.1754,463.142,13.0616,128.886,0.96
97.3559,348.213,47.3921,464.987,13.2216,127.014,0.97
98.0522,351.877,48.5956,466.84,13.3791,125.15,0.98
98.7385,355.544,49.7859,468.702,13.534,123.293,0.99
99.4147,359.212,50.963,470.573,13.6863,121.445,1
100.081,362.882,52.1267,472.451,13.836,119.604,1.01
100.736,366.554,53.2772,474.338,13.983,117.771,1.02
101.382,370.228,54.4142,476.234,14.1273,115.945,1.03
102.017,373.903,55.5377,478.137,14.2689,114.127,1.04
102.641,377.581,56.6477,480.048,14.4078,112.316,1.05
103.255,381.26,57.7441,481.966,14.544,110.513,1.06
103.857,384.941,58.8269,483.893,14.6775,108.717,1.07
104.449,388.623,59.896,485.827,14.8082,106.928,1.08
105.03,392.308,60.9513,487.769,14.9363,105.147,1.09
105.6,395.994,61.9928,489.718,15.0616,103.372,1.1
106.159,399.682,63.0205,491.675,15.1842,101.605,1.11
106.707,403.372,64.0343,493.638,15.3041,99.8454,1.12
107.244,407.063,65.0341,495.609,15.4214,98.0926,1.13
107.769,410.756,66.0198,497.587,15.536,96.3468,1.14
108.282,414.45,66.9916,499.572,15.648,94.6082,1.15
108.785,418.146,67.9492,501.564,15.7574,92.8766,1.16
109.275,421.844,68.8927,503.562,15.8642,91.152,1.17
109.754,425.543,69.822,505.568,15.9685,89.4345,1.18
110.221,429.243,70.737,507.579,16.0703,87.724,1.19
110.676,432.946,71.6377,509.597,16.1697,86.0205,1.2
111.12,436.649,72.5241,511.622,16.2666,84.3241,1.21
111.551,440.354,73.3961,513.653,16.3612,82.6348,1.22
111.971,444.06,74.2536,515.689,16.4534,80.9525,1.23
112.378,447.768,75.0967,517.732,16.5433,79.2774,1.24
112.774,451.477,75.9253,519.781,16.631,77.6095,1.25
113.157,455.187,76.7393,521.836,16.7165,75.9488,1.26
113.528,458.899,77.5388,523.896,16.7999,74.2955,1.27
113.886,462.612,78.3236,525.962,16.8812,72.6496,1.28
114.232,466.326,79.0937,528.033,16.9605,71.0111,1.29
114.566,470.041,79.8491,530.11,17.0378,69.3803,1.3
114.887,473.757,80.5897,532.193,17.1131,67.7572,1.31
115.195,477.474,81.3155,534.28,17.1866,66.142,1.32
115.491,481.192,82.0266,536.372,17.2582,64.5349,1.33
115.775,484.911,82.7227,538.47,17.3281,62.936,1.34
116.045,488.632,83.404,540.572,17.3963,61.3456,1.35
116.303,492.353,84.0703,542.679,17.4628,59.7638,1.36
116.548,496.075,84.7216,544.791,17.5277,58.1911,1.37
116.78,499.797,85.358,546.908,17.591,56.6277,1.38
116.999,503.521,85.9793,549.029,17.6528,55.074,1.39
117.205,507.245,86.5856,551.154,17.7131,53.5303,1.4
117.398,510.97,87.1767,553.283,17.772,51.9972,1.41
117.578,514.696,87.7528,555.417,17.8296,50.475,1.42
117.745,518.422,88.3137,557.555,17.8858,48.9645,1.43
117.898,522.149,88.8594,559.696,17.9408,47.4663,1.44
118.039,525.876,89.3899,561.841,17.9945,45.981,1.45
118.166,529.604,89.9051,563.991,18.047,44.5096,1.46
118.28,533.332,90.4052,566.143,18.0983,43.053,1.47
118.381,537.061,90.8899,568.299,18.1485,41.6123,1.48
118.468,540.79,91.3593,570.459,18.1977,40.1887,1.49
118.542,544.519,91.8134,572.622,18.2457,38.7835,1.5
118.602,548.249,92.2521,574.788,18.2928,37.3985,1.51
118.649,551.979,92.6754,576.957,18.3388,36.0355,1.52
118.683,555.708,93.0834,579.129,18.3839,34.6964,1.53
118.702,559.438,93.4759,581.304,18.4281,33.3838,1.54
118.709,563.168,93.853,583.481,18.4714,32.1002,1.55
118.701,566.898,94.2146,585.662,18.5137,30.8489,1.56
118.68,570.628,94.5607,587.844,18.5552,29.6335,1.57
118.645,574.358,94.8914,590.029,18.5959,28.4578,1.58
118.597,578.088,95.2065,592.217,18.6358,27.3266,1.59
118.535,581.817,95.5061,594.407,18.6748,26.2451,1.6
118.459,585.547,95.7902,596.598,18.7131,25.2191,1.61
118.369,589.275,96.0587,598.792,18.7506,24.2551,1.62
118.265,593.004,96.3116,600.987,18.7874,23.3601,1.63
118.148,596.732,96.549,603.184,18.8234,22.5419,1.64
118.016,600.46,96.7707,605.383,18.8587,21.8086,1.65
117.871,604.187,96.9769,607.584,18.8934,21.1683,1.66
117.712,607.914,97.1674,609.785,18.9273,20.6293,1.67
117.538,611.64,97.3423,611.989,18.9606,20.199,1.68
117.351,615.365,97.5016,614.193,18.9932,19.884,1.69
117.15,619.089,97.6452,616.398,19.0252,19.6892,1.7
116.934,622.813,97.7732,618.604,19.0565,19.6179,1.71
116.705,626.536,97.8855,620.812,19.0872,19.6707,1.72
116.461,630.258,97.9822,623.019,19.1173,19.8463,1.73
116.204,633.979,98.0632,625.228,19.1468,20.1411,1.74
115.932,637.699,98.1285,627.437,19.1757,20.5494,1.75
115.646,641.418,98.1782,629.646,19.204,21.0642,1.76
115.346,645.136,98.2121,631.856,19.2318,21.6778,1.77
115.032,648.853,98.2304,634.066,19.2589,22.3815,1.78
114.703,652.569,98.233,636.276,19.2855,23.1669,1.79
114.36,656.283,98.22,638.486,19.3115,24.0257,1.8
114.003,659.996,98.1912,640.696,19.337,24.95,1.81
113.632,663.707,98.1468,642.905,19.3619,25.9327,1.82
113.247,667.417,98.0867,645.115,19.3862,26.9671,1.83
112.847,671.126,98.0109,647.323,19.4099,28.0473,1.84
112.433,674.833,97.9195,649.531,19.4329,29.1682,1.85
112.004,678.538,97.8124,651.739,19.4554,30.3249,1.86
111.561,682.242,97.6896,653.945,19.4771,31.5135,1.87
111.104,685.943,97.5512,656.151,19.4982,32.7303,1.88
110.633,689.644,97.3971,658.356,19.5185,33.9722,1.89
