Author: Spencer Rodgers, Date 1/6/2021, Score = 2.21327, Intercept Time = 1.69
Missile X, Missile Y, Target X, Target Y, AccelM, Separation, Time 
0,0,-120.264,338.256,0,359,0
1.17934,3.53865,-118.158,338.924,-0.116024,355.984,0.01
2.34132,7.08304,-116.056,339.606,-0.192806,352.972,0.02
3.48873,10.6322,-113.958,340.303,-0.235319,349.967,0.03
4.62396,14.1852,-111.866,341.015,-0.248013,346.969,0.04
5.74901,17.7415,-109.779,341.742,-0.234846,343.981,0.05
6.86556,21.3005,-107.697,342.483,-0.199321,341.003,0.06
7.97501,24.8617,-105.621,343.239,-0.144521,338.036,0.07
9.07853,28.4247,-103.549,344.01,-0.073151,335.081,0.08
10.1771,31.9892,-101.484,344.796,0.0124227,332.139,0.09
11.2714,35.5551,-99.4238,345.596,0.110139,329.21,0.1
12.3623,39.122,-97.3696,346.411,0.218204,326.294,0.11
13.45,42.6899,-95.3211,347.241,0.335065,323.392,0.12
14.5352,46.2586,-93.2786,348.085,0.459373,320.504,0.13
15.618,49.8279,-91.2422,348.943,0.589965,317.63,0.14
16.6986,53.3979,-89.2118,349.816,0.725837,314.771,0.15
17.7774,56.9685,-87.1878,350.703,0.866122,311.926,0.16
18.8544,60.5397,-85.17,351.605,1.01008,309.096,0.17
19.9296,64.1114,-83.1588,352.521,1.15706,306.28,0.18
21.003,67.6835,-81.154,353.451,1.30652,303.478,0.19
22.0748,71.2563,-79.156,354.395,1.45798,300.692,0.2
23.1449,74.8295,-77.1646,355.354,1.61104,297.919,0.21
24.2131,78.4032,-75.1801,356.326,1.76535,295.161,0.22
25.2795,81.9775,-73.2026,357.313,1.92061,292.418,0.23
26.344,85.5524,-71.2321,358.314,2.07657,289.689,0.24
27.4064,89.1279,-69.2688,359.328,2.233,286.974,0.25
28.4668,92.704,-67.3127,360.357,2.38971,284.274,0.26
29.5249,96.2808,-65.364,361.399,2.54655,281.588,0.27
30.5806,99.8583,-63.4227,362.455,2.70337,278.915,0.28
31.6339,103.436,-61.4889,363.525,2.86005,276.257,0.29
32.6847,107.015,-59.5628,364.609,3.01649,273.613,0.3
33.7327,110.595,-57.6444,365.706,3.1726,270.982,0.31
34.7779,114.176,-55.7339,366.817,3.3283,268.365,0.32
35.8201,117.757,-53.8313,367.941,3.48351,265.762,0.33
36.8592,121.34,-51.9367,369.079,3.63819,263.172,0.34
37.895,124.923,-50.0502,370.23,3.79228,260.596,0.35
