Author: Spencer Rodgers, Date 1/6/2021, Score = 2.41171, Intercept Time = 2.29
Missile X, Missile Y, Target X, Target Y, AccelM, Separation, Time 
0,0,-120.264,338.256,0,359,0
1.17934,3.53865,-118.158,338.924,-0.029006,355.984,0.01
2.35434,7.07875,-116.056,339.606,-0.0518096,352.98,0.02
3.52517,10.6202,-113.958,340.303,-0.0684426,349.99,0.03
4.69198,14.163,-111.866,341.015,-0.07894,347.013,0.04
5.85492,17.7071,-109.779,341.742,-0.0833405,344.049,0.05
7.01413,21.2524,-107.697,342.483,-0.0816859,341.098,0.06
8.16973,24.7989,-105.621,343.239,-0.0740218,338.161,0.07
9.32186,28.3465,-103.549,344.01,-0.0603968,335.237,0.08
10.4706,31.8952,-101.484,344.796,-0.0408633,332.326,0.09
11.6161,35.4449,-99.4238,345.596,-0.0154767,329.43,0.1
12.7584,38.9957,-97.3696,346.411,0.015704,326.546,0.11
13.8977,42.5475,-95.3211,347.241,0.0526168,323.677,0.12
15.0339,46.1002,-93.2786,348.085,0.0951962,320.821,0.13
16.1673,49.6538,-91.2422,348.943,0.143374,317.979,0.14
17.2977,53.2084,-89.2118,349.816,0.197077,315.151,0.15
18.4254,56.7639,-87.1878,350.703,0.256231,312.337,0.16
19.5503,60.3202,-85.17,351.605,0.320759,309.537,0.17
20.6725,63.8774,-83.1588,352.521,0.390578,306.751,0.18
21.7921,67.4354,-81.154,353.451,0.465605,303.978,0.19
22.9089,70.9943,-79.156,354.395,0.545752,301.22,0.2
24.0232,74.5539,-77.1646,355.354,0.630929,298.475,0.21
25.1349,78.1144,-75.1801,356.326,0.721044,295.745,0.22
26.2439,81.6757,-73.2026,357.313,0.816,293.028,0.23
27.3503,85.2379,-71.2321,358.314,0.915699,290.326,0.24
28.4542,88.8008,-69.2688,359.328,1.02004,287.637,0.25
29.5554,92.3645,-67.3127,360.357,1.12892,284.962,0.26
30.654,95.9291,-65.364,361.399,1.24223,282.301,0.27
31.7499,99.4944,-63.4227,362.455,1.35986,279.654,0.28
32.8432,103.061,-61.4889,363.525,1.48171,277.021,0.29
33.9337,106.628,-59.5628,364.609,1.60765,274.401,0.3
