Author: Spencer Rodgers, Date 1/8/2021
Missile X, Missile Y, Target X, Target Y,AccelM, Separation, Time 
0,0,894.693,1788.72,0,0,0
2.68408,5.36616,897.693,1788.72,-14.0754,2000,0.01
5.38049,10.7261,900.693,1788.72,-14.106,1995.34,0.02
8.08924,16.0799,903.693,1788.72,-14.1366,1990.69,0.03
10.8103,21.4274,906.693,1788.72,-14.1673,1986.04,0.04
13.5438,26.7686,909.693,1788.72,-14.198,1981.4,0.05
16.2897,32.1034,912.693,1788.72,-14.2288,1976.76,0.06
19.0479,37.4318,915.693,1788.72,-14.2597,1972.12,0.07
21.8186,42.7538,918.693,1788.72,-14.2906,1967.48,0.08
24.6016,48.0693,921.693,1788.72,-14.3216,1962.85,0.09
27.3971,53.3783,924.693,1788.72,-14.3527,1958.22,0.1
30.205,58.6807,927.693,1788.72,-14.3838,1953.6,0.11
33.0254,63.9765,930.693,1788.72,-14.415,1948.98,0.12
35.8582,69.2656,933.693,1788.72,-14.4462,1944.36,0.13
38.7035,74.5481,936.693,1788.72,-14.4775,1939.75,0.14
41.5613,79.8238,939.693,1788.72,-14.5089,1935.14,0.15
44.4316,85.0927,942.693,1788.72,-14.5403,1930.54,0.16
47.3144,90.3548,945.693,1788.72,-14.5718,1925.93,0.17
50.2097,95.61,948.693,1788.72,-14.6034,1921.34,0.18
53.1175,100.858,951.693,1788.72,-14.635,1916.74,0.19
56.0379,106.1,954.693,1788.72,-14.6666,1912.15,0.2
58.9708,111.334,957.693,1788.72,-14.6984,1907.56,0.21
61.9163,116.561,960.693,1788.72,-14.7302,1902.98,0.22
64.8743,121.781,963.693,1788.72,-14.762,1898.4,0.23
67.845,126.994,966.693,1788.72,-14.7939,1893.82,0.24
70.8282,132.2,969.693,1788.72,-14.8259,1889.25,0.25
73.824,137.399,972.693,1788.72,-14.8579,1884.68,0.26
76.8324,142.59,975.693,1788.72,-14.89,1880.12,0.27
79.8534,147.774,978.693,1788.72,-14.9222,1875.55,0.28
82.8871,152.951,981.693,1788.72,-14.9544,1870.99,0.29
85.9334,158.12,984.693,1788.72,-14.9867,1866.44,0.3
88.9923,163.281,987.693,1788.72,-15.019,1861.89,0.31
92.0639,168.435,990.693,1788.72,-15.0514,1857.34,0.32
95.1481,173.582,993.693,1788.72,-15.0838,1852.8,0.33
98.245,178.721,996.693,1788.72,-15.1163,1848.26,0.34
101.355,183.852,999.693,1788.72,-15.1489,1843.72,0.35
104.477,188.976,1002.69,1788.72,-15.1815,1839.19,0.36
107.612,194.092,1005.69,1788.72,-15.2141,1834.66,0.37
110.76,199.2,1008.69,1788.72,-15.2469,1830.13,0.38
113.92,204.3,1011.69,1788.72,-15.2796,1825.61,0.39
117.093,209.392,1014.69,1788.72,-15.3125,1821.1,0.4
120.279,214.477,1017.69,1788.72,-15.3454,1816.58,0.41
123.477,219.553,1020.69,1788.72,-15.3783,1812.07,0.42
126.689,224.621,1023.69,1788.72,-15.4113,1807.56,0.43
129.913,229.681,1026.69,1788.72,-15.4443,1803.06,0.44
133.15,234.734,1029.69,1788.72,-15.4774,1798.56,0.45
136.399,239.777,1032.69,1788.72,-15.5106,1794.06,0.46
139.662,244.813,1035.69,1788.72,-15.5438,1789.57,0.47
142.937,249.84,1038.69,1788.72,-15.5771,1785.08,0.48
146.225,254.859,1041.69,1788.72,-15.6104,1780.6,0.49
149.525,259.87,1044.69,1788.72,-15.6437,1776.12,0.5
152.839,264.872,1047.69,1788.72,-15.6771,1771.64,0.51
156.165,269.865,1050.69,1788.72,-15.7106,1767.17,0.52
159.504,274.85,1053.69,1788.72,-15.7441,1762.7,0.53
162.856,279.827,1056.69,1788.72,-15.7777,1758.23,0.54
166.221,284.795,1059.69,1788.72,-15.8113,1753.77,0.55
169.598,289.754,1062.69,1788.72,-15.845,1749.31,0.56
172.989,294.704,1065.69,1788.72,-15.8787,1744.86,0.57
176.392,299.646,1068.69,1788.72,-15.9124,1740.4,0.58
179.808,304.578,1071.69,1788.72,-15.9462,1735.96,0.59
183.237,309.502,1074.69,1788.72,-15.9801,1731.51,0.6
186.678,314.417,1077.69,1788.72,-16.014,1727.07,0.61
190.133,319.322,1080.69,1788.72,-16.0479,1722.64,0.62
193.6,324.219,1083.69,1788.72,-16.0819,1718.21,0.63
197.08,329.107,1086.69,1788.72,-16.1159,1713.78,0.64
200.573,333.985,1089.69,1788.72,-16.15,1709.35,0.65
204.079,338.854,1092.69,1788.72,-16.1841,1704.93,0.66
