Author: Spencer Rodgers, Date 1/6/2021, Score = 2.11, Intercept Time = 3.17
Missile X, Missile Y, Target X, Target Y, AccelM, Separation, Time 
0,0,214.711,976.678,0,1000,0
2.731,3.09815,216.541,975.688,-0.0318693,995.815,0.01
5.46197,6.19633,218.374,974.705,-0.0633095,991.636,0.02
8.19293,9.29452,220.21,973.728,-0.0943181,987.463,0.03
10.9239,12.3927,222.05,972.757,-0.124892,983.298,0.04
13.6549,15.4908,223.892,971.792,-0.15503,979.138,0.05
16.386,18.5889,225.738,970.833,-0.184728,974.986,0.06
19.1171,21.6869,227.587,969.881,-0.213985,970.84,0.07
21.8484,24.7849,229.439,968.934,-0.242797,966.701,0.08
24.5798,27.8827,231.294,967.993,-0.271162,962.569,0.09
27.3113,30.9804,233.153,967.059,-0.299078,958.443,0.1
30.043,34.0779,235.014,966.131,-0.326542,954.325,0.11
32.7749,37.1753,236.879,965.209,-0.353552,950.213,0.12
35.5069,40.2725,238.746,964.293,-0.380106,946.107,0.13
38.2393,43.3695,240.616,963.383,-0.4062,942.009,0.14
40.9718,46.4663,242.49,962.479,-0.431833,937.917,0.15
43.7046,49.5628,244.366,961.582,-0.457003,933.833,0.16
46.4377,52.6591,246.246,960.69,-0.481706,929.755,0.17
49.1711,55.7552,248.128,959.805,-0.505941,925.684,0.18
51.9048,58.8509,250.013,958.926,-0.529705,921.62,0.19
54.6389,61.9464,251.901,958.054,-0.552997,917.562,0.2
57.3732,65.0416,253.792,957.187,-0.575813,913.512,0.21
60.108,68.1364,255.686,956.327,-0.598152,909.469,0.22
62.8431,71.2309,257.583,955.473,-0.620011,905.433,0.23
65.5786,74.3251,259.482,954.626,-0.641389,901.403,0.24
68.3146,77.4189,261.384,953.784,-0.662284,897.381,0.25
71.0509,80.5123,263.289,952.949,-0.682692,893.365,0.26
73.7877,83.6053,265.197,952.12,-0.702612,889.357,0.27
76.525,86.6979,267.108,951.298,-0.722043,885.356,0.28
79.2627,89.7902,269.021,950.482,-0.740981,881.361,0.29
82.0009,92.882,270.937,949.672,-0.759425,877.374,0.3
84.7395,95.9734,272.855,948.868,-0.777374,873.394,0.31
87.4787,99.0643,274.776,948.071,-0.794825,869.421,0.32
90.2184,102.155,276.7,947.28,-0.811775,865.455,0.33
92.9586,105.245,278.626,946.495,-0.828225,861.496,0.34
95.6993,108.334,280.555,945.717,-0.844171,857.544,0.35
98.4406,111.423,282.487,944.945,-0.859611,853.599,0.36
101.182,114.512,284.421,944.18,-0.874545,849.662,0.37
103.925,117.6,286.357,943.421,-0.88897,845.731,0.38
