Author: Spencer Rodgers, Date 1/8/2021
Missile X, Missile Y, Target X, Target Y,AccelM, Separation, Time 
0,0,894.693,1788.72,0,0,0
2.68408,5.36616,897.693,1788.72,-11.657,2000,0.01
5.37837,10.7272,900.693,1788.72,-11.6628,1995.34,0.02
8.08287,16.0831,903.693,1788.72,-11.6685,1990.69,0.03
10.7976,21.4338,906.693,1788.72,-11.6742,1986.04,0.04
13.5225,26.7794,909.693,1788.72,-11.6799,1981.4,0.05
16.2576,32.1197,912.693,1788.72,-11.6855,1976.76,0.06
19.0028,37.4549,915.693,1788.72,-11.691,1972.12,0.07
21.7583,42.7847,918.693,1788.72,-11.6965,1967.48,0.08
24.5239,48.1093,921.693,1788.72,-11.7019,1962.85,0.09
27.2998,53.4286,924.693,1788.72,-11.7073,1958.22,0.1
30.0857,58.7426,927.693,1788.72,-11.7126,1953.6,0.11
32.8819,64.0512,930.693,1788.72,-11.7178,1948.98,0.12
35.6882,69.3545,933.693,1788.72,-11.723,1944.36,0.13
38.5046,74.6524,936.693,1788.72,-11.7281,1939.75,0.14
41.3312,79.9449,939.693,1788.72,-11.7332,1935.14,0.15
44.1679,85.2319,942.693,1788.72,-11.7382,1930.54,0.16
47.0148,90.5135,945.693,1788.72,-11.7431,1925.93,0.17
49.8718,95.7897,948.693,1788.72,-11.748,1921.34,0.18
52.7389,101.06,951.693,1788.72,-11.7528,1916.74,0.19
55.6161,106.325,954.693,1788.72,-11.7576,1912.15,0.2
58.5034,111.585,957.693,1788.72,-11.7623,1907.56,0.21
61.4008,116.839,960.693,1788.72,-11.7669,1902.98,0.22
64.3083,122.088,963.693,1788.72,-11.7715,1898.4,0.23
67.2259,127.33,966.693,1788.72,-11.776,1893.82,0.24
70.1536,132.568,969.693,1788.72,-11.7805,1889.25,0.25
73.0913,137.799,972.693,1788.72,-11.7849,1884.68,0.26
76.0392,143.025,975.693,1788.72,-11.7892,1880.11,0.27
78.997,148.245,978.693,1788.72,-11.7934,1875.55,0.28
81.9649,153.46,981.693,1788.72,-11.7976,1870.99,0.29
84.9429,158.669,984.693,1788.72,-11.8018,1866.44,0.3
87.9309,163.872,987.693,1788.72,-11.8059,1861.89,0.31
90.9289,169.069,990.693,1788.72,-11.8099,1857.34,0.32
93.937,174.261,993.693,1788.72,-11.8138,1852.79,0.33
96.955,179.446,996.693,1788.72,-11.8177,1848.25,0.34
99.9831,184.626,999.693,1788.72,-11.8215,1843.72,0.35
103.021,189.8,1002.69,1788.72,-11.8253,1839.18,0.36
106.069,194.968,1005.69,1788.72,-11.8289,1834.65,0.37
109.127,200.131,1008.69,1788.72,-11.8326,1830.13,0.38
112.195,205.287,1011.69,1788.72,-11.8361,1825.61,0.39
115.273,210.437,1014.69,1788.72,-11.8396,1821.09,0.4
118.361,215.582,1017.69,1788.72,-11.843,1816.57,0.41
121.459,220.72,1020.69,1788.72,-11.8464,1812.06,0.42
124.567,225.852,1023.69,1788.72,-11.8497,1807.55,0.43
127.684,230.979,1026.69,1788.72,-11.8529,1803.05,0.44
130.812,236.099,1029.69,1788.72,-11.856,1798.55,0.45
